Product order name;product_order_date;comment;factory;status;create_date;order_number;order_date;product_name;qty
ПКНФ-000010;15.01.2025;5415.3 - ВНС корпус - Изделие (списан бак з0227, подводка из 5963);Васюринская;В работе;15.01.2025;ПКНФ-00389;13.12.2024;Насосная станция повышения давления в корпусе базе установки повышения давления КСС-МЧ-2 CDM5-4+СХ+Г;1
ПКНФ-000025;22.01.2025;5415.4 - в корпусе - Изделие;Васюринская;В работе;22.01.2025;ПКНФ-00389;13.12.2024;Насосная станция пожаротушения в корпусе установки пожаротушения КСС-П-2 CDM20-2+АВР+2ЭЗ;1
ПКНФ-000345;19.06.2025;6574.4 - Станция очистки хоз-быт сточных вод основное+ потеряшки
;Васюринская;В работе;19.06.2025;ПКНФ-00594 ;21.05.2025;Станция очистки хозяйственно- бытовых сточных вод, 10м3/сут;1
ПКНФ-000382;25.06.2025;6574.4ШУ СОХ  + потеряшки;Тихорецкая ( только для шу с 0;В работе;25.06.2025;ПКНФ-00594 ;21.05.2025;6574.4 КСС - ШУ ЛОС;1
ПКНФ-000839;04.09.2025;7148.1 - ЕНП ;Васюринская;В работе;04.09.2025;ПКНФ-00739 ;15.08.2025;Емкость накопительная для питьевой воды из полиэтилена КСС-ЕНП-20, D=2000 мм, L=6400 мм, объем 20 м3;1
ПКНФ-000867;01.10.2025;6754 - КНС (Основное)+ потеряшки;Васюринская;В работе;01.10.2025;ПКНФ-00715 ;25.08.2025;Канализационная насосная станция в корпусе из стеклопластика КСС-КНС-3200-4800;1
ПКНФ-000899;14.10.2025;7148.3 - установка в корпусе - Основное изделие;Васюринская;В работе;14.10.2025;ПКНФ-00746 ;21.08.2025;Насосная станция повышения давления в корпусе из стеклопластика КСС-BНС-2000-3050;1
ПКНФ-000961;03.10.2025;4669 КНС - основное изделие;Васюринская;В работе;03.10.2025;ПКНФ-00812 ;02.10.2025;КСС-КНС-3000-6000, на базе насосов CNP 100SSC100-65-75.;1
ПКНФ-001042;27.10.2025;7375 - насосы;Бершанская;В работе;27.10.2025;ПКНФ-00797 ;22.10.2025;Насосы CNP100WQ65-15-5.5W(I) (длина кабеля– 9 м), в комплекте с автоматической трубной муфтой DN100;2
ПКНФ-001047;28.10.2025;7375 - внутренняя обвязка;Новороссийская ( внс и пнс);В работе;28.10.2025;ПКНФ-00797 ;22.10.2025;Внутренняя трубная обвязка из нерж. ст. AISI 304 DN125;1
ПКНФ-001108;07.11.2025;7413ШУ Комплект оборуд.;Тихорецкая ( только для шу с 0;В работе;07.11.2025;ПКНФ-00869 ;29.10.2025;7413 КСС ШУК- 2/3 -2,2кВт + АВР+УХЛ1;1
ПКНФ-001122;10.11.2025;7354.1 - ПНС корпус (Основное изделие);Васюринская;В работе;10.11.2025;ПКНФ-00845 ;16.10.2025;КСС-ПНС-3200-4800 с трубной обвязкой DN150 из нерж. ст. AISI 304 на базе установки подачи воды для п;1
ПКНФ-001124;10.11.2025;7354.2 - ВНС в корпусе (Основное изделие);Васюринская;В работе;10.11.2025;ПКНФ-00845 ;16.10.2025;КСС-ВНС-3000-4800 с трубной обвязкой DN65 из нерж. ст. AISI 304 на базе установки подачи воды для по;1
